dataset,arch,config,subset,subset_size,seed,epoch,replace,K,train_acc,test_acc,ckpt
emnist,deep,drop,,47,1032,epoch10,none,25,0.815531914893617,0.8125531914893617,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1032\epoch10.safetensors
emnist,deep,drop,,47,1032,epoch10,hidden,25,0.3754166666666667,0.3726063829787234,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1032\epoch10.safetensors
emnist,deep,drop,,47,1032,epoch100,none,25,0.8486879432624114,0.8423936170212766,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1032\epoch100.safetensors
emnist,deep,drop,,47,1032,epoch100,hidden,25,0.3721099290780142,0.37127659574468086,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1032\epoch100.safetensors
emnist,deep,drop,,47,1032,epoch150,none,25,0.8534219858156028,0.8457978723404256,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1032\epoch150.safetensors
emnist,deep,drop,,47,1032,epoch150,hidden,25,0.34009751773049646,0.33904255319148935,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1032\epoch150.safetensors
emnist,deep,drop,,47,1032,epoch200,none,25,0.8561081560283688,0.8498404255319149,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1032\epoch200.safetensors
emnist,deep,drop,,47,1032,epoch200,hidden,25,0.3503280141843972,0.34617021276595744,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1032\epoch200.safetensors
emnist,deep,drop,,47,1032,epoch25,none,25,0.8265691489361702,0.8221808510638298,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1032\epoch25.safetensors
emnist,deep,drop,,47,1032,epoch25,hidden,25,0.36407801418439717,0.36196808510638295,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1032\epoch25.safetensors
emnist,deep,drop,,47,1032,epoch50,none,25,0.8389450354609929,0.8325,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1032\epoch50.safetensors
emnist,deep,drop,,47,1032,epoch50,hidden,25,0.36874113475177306,0.3655851063829787,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1032\epoch50.safetensors
emnist,deep,drop,,47,1032,epoch75,none,25,0.8431382978723404,0.8378723404255319,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1032\epoch75.safetensors
emnist,deep,drop,,47,1032,epoch75,hidden,25,0.37077127659574466,0.3707446808510638,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1032\epoch75.safetensors
emnist,deep,drop,,47,1362,epoch10,none,25,0.8169858156028369,0.8127127659574468,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1362\epoch10.safetensors
emnist,deep,drop,,47,1362,epoch10,hidden,25,0.38523936170212764,0.3855851063829787,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1362\epoch10.safetensors
emnist,deep,drop,,47,1362,epoch100,none,25,0.8492464539007092,0.8429255319148936,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1362\epoch100.safetensors
emnist,deep,drop,,47,1362,epoch100,hidden,25,0.3760283687943262,0.37696808510638297,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1362\epoch100.safetensors
emnist,deep,drop,,47,1362,epoch150,none,25,0.8545035460992908,0.847872340425532,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1362\epoch150.safetensors
emnist,deep,drop,,47,1362,epoch150,hidden,25,0.39732269503546097,0.40058510638297873,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1362\epoch150.safetensors
emnist,deep,drop,,47,1362,epoch200,none,25,0.8573670212765957,0.8504787234042553,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1362\epoch200.safetensors
emnist,deep,drop,,47,1362,epoch200,hidden,25,0.37203900709219856,0.36914893617021277,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1362\epoch200.safetensors
emnist,deep,drop,,47,1362,epoch25,none,25,0.8283421985815603,0.8270212765957446,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1362\epoch25.safetensors
emnist,deep,drop,,47,1362,epoch25,hidden,25,0.3764716312056738,0.3816489361702128,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1362\epoch25.safetensors
emnist,deep,drop,,47,1362,epoch50,none,25,0.8375709219858156,0.8329787234042553,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1362\epoch50.safetensors
emnist,deep,drop,,47,1362,epoch50,hidden,25,0.41075354609929077,0.4103191489361702,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1362\epoch50.safetensors
emnist,deep,drop,,47,1362,epoch75,none,25,0.8436436170212765,0.8393085106382979,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1362\epoch75.safetensors
emnist,deep,drop,,47,1362,epoch75,hidden,25,0.4007978723404255,0.39664893617021274,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed1362\epoch75.safetensors
emnist,deep,drop,,47,2721,epoch10,none,25,0.8165691489361702,0.8131382978723404,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed2721\epoch10.safetensors
emnist,deep,drop,,47,2721,epoch10,hidden,25,0.3329609929078014,0.33409574468085107,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed2721\epoch10.safetensors
emnist,deep,drop,,47,2721,epoch100,none,25,0.8480496453900709,0.844095744680851,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed2721\epoch100.safetensors
emnist,deep,drop,,47,2721,epoch100,hidden,25,0.36788120567375887,0.37132978723404253,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed2721\epoch100.safetensors
emnist,deep,drop,,47,2721,epoch150,none,25,0.8540248226950354,0.8481914893617021,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed2721\epoch150.safetensors
emnist,deep,drop,,47,2721,epoch150,hidden,25,0.35901595744680853,0.35829787234042554,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed2721\epoch150.safetensors
emnist,deep,drop,,47,2721,epoch200,none,25,0.856604609929078,0.8496276595744681,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed2721\epoch200.safetensors
emnist,deep,drop,,47,2721,epoch200,hidden,25,0.3427304964539007,0.3429255319148936,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed2721\epoch200.safetensors
emnist,deep,drop,,47,2721,epoch25,none,25,0.8300354609929078,0.8219148936170213,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed2721\epoch25.safetensors
emnist,deep,drop,,47,2721,epoch25,hidden,25,0.3605673758865248,0.3627127659574468,D:\generating_vector_data\group_of_7\emnist_deep_drop\seed2721\epoch25.safetensors
