dataset,arch,config,subset,subset_size,seed,epoch,replace,K,train_acc,test_acc,ckpt
emnist,deep,drop,fifteen_1,15,1032,epoch10,none,100,0.938,0.9356666666666666,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch10.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch10,hidden,100,0.7843055555555556,0.7766666666666666,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch10.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch100,none,100,0.9604722222222222,0.954,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch100.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch100,hidden,100,0.8112222222222222,0.8121666666666667,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch100.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch150,none,100,0.9648333333333333,0.9595,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch150.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch150,hidden,100,0.7910555555555555,0.7796666666666666,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch150.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch200,none,100,0.9653888888888889,0.96,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch200.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch200,hidden,100,0.7948333333333333,0.7861666666666667,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch200.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch25,none,100,0.9493611111111111,0.9448333333333333,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch25.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch25,hidden,100,0.7941944444444444,0.7951666666666667,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch25.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch50,none,100,0.9555277777777778,0.9488333333333333,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch50.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch50,hidden,100,0.7569166666666667,0.7493333333333333,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch50.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch75,none,100,0.9596388888888889,0.9543333333333334,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch75.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch75,hidden,100,0.765,0.755,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch75.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch10,none,100,0.9379166666666666,0.9365,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch10.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch10,hidden,100,0.7188333333333333,0.7211666666666666,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch10.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch100,none,100,0.9594166666666667,0.9548333333333333,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch100.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch100,hidden,100,0.7616944444444445,0.7626666666666667,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch100.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch150,none,100,0.9643611111111111,0.9586666666666667,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch150.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch150,hidden,100,0.7485833333333334,0.7443333333333333,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch150.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch200,none,100,0.9645555555555556,0.9583333333333334,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch200.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch200,hidden,100,0.7696666666666667,0.7543333333333333,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch200.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch25,none,100,0.95025,0.9473333333333334,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch25.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch25,hidden,100,0.7599444444444444,0.7585,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch25.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch50,none,100,0.95575,0.9485,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch50.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch50,hidden,100,0.7837777777777778,0.7775,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch50.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch75,none,100,0.9589166666666666,0.955,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch75.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch75,hidden,100,0.7288611111111111,0.7211666666666666,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch75.safetensors
emnist,deep,drop,fifteen_1,15,2721,epoch10,none,100,0.9348055555555556,0.9321666666666667,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed2721\epoch10.safetensors
emnist,deep,drop,fifteen_1,15,2721,epoch10,hidden,100,0.6809166666666666,0.6908333333333333,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed2721\epoch10.safetensors
emnist,deep,drop,fifteen_1,15,2721,epoch100,none,100,0.9599722222222222,0.9528333333333333,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed2721\epoch100.safetensors
emnist,deep,drop,fifteen_1,15,2721,epoch100,hidden,100,0.7611666666666667,0.7565,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed2721\epoch100.safetensors
emnist,deep,drop,fifteen_1,15,2721,epoch150,none,100,0.9644722222222222,0.9575,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed2721\epoch150.safetensors
emnist,deep,drop,fifteen_1,15,2721,epoch150,hidden,100,0.76075,0.7561666666666667,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed2721\epoch150.safetensors
emnist,deep,drop,fifteen_1,15,2721,epoch200,none,100,0.9646111111111111,0.9578333333333333,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed2721\epoch200.safetensors
emnist,deep,drop,fifteen_1,15,2721,epoch200,hidden,100,0.7551388888888889,0.7565,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed2721\epoch200.safetensors
emnist,deep,drop,fifteen_1,15,2721,epoch25,none,100,0.9501111111111111,0.9453333333333334,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed2721\epoch25.safetensors
emnist,deep,drop,fifteen_1,15,2721,epoch25,hidden,100,0.7748888888888888,0.7786666666666666,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed2721\epoch25.safetensors
