dataset,arch,config,subset,subset_size,seed,epoch,replace,K,train_acc,test_acc,ckpt
emnist,deep,drop,fifteen_1,15,1032,epoch10,none,8,0.938,0.9356666666666666,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch10.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch10,hidden,8,0.45452777777777775,0.45766666666666667,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch10.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch100,none,8,0.9604722222222222,0.954,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch100.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch100,hidden,8,0.5387222222222222,0.5358333333333334,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch100.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch150,none,8,0.9648333333333333,0.9595,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch150.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch150,hidden,8,0.5081111111111111,0.499,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch150.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch200,none,8,0.9653888888888889,0.96,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch200.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch200,hidden,8,0.494,0.4831666666666667,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch200.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch25,none,8,0.9493611111111111,0.9448333333333333,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch25.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch25,hidden,8,0.5211388888888889,0.5206666666666667,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch25.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch50,none,8,0.9555277777777778,0.9488333333333333,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch50.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch50,hidden,8,0.48894444444444446,0.48283333333333334,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch50.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch75,none,8,0.9596388888888889,0.9543333333333334,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch75.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch75,hidden,8,0.5114722222222222,0.5071666666666667,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch75.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch10,none,8,0.9379166666666666,0.9365,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch10.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch10,hidden,8,0.4363888888888889,0.43616666666666665,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch10.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch100,none,8,0.9594166666666667,0.9548333333333333,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch100.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch100,hidden,8,0.46119444444444446,0.4605,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch100.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch150,none,8,0.9643611111111111,0.9586666666666667,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch150.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch150,hidden,8,0.44663888888888886,0.43833333333333335,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch150.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch200,none,8,0.9645555555555556,0.9583333333333334,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch200.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch200,hidden,8,0.411,0.406,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch200.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch25,none,8,0.95025,0.9473333333333334,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch25.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch25,hidden,8,0.5224166666666666,0.5185,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch25.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch50,none,8,0.95575,0.9485,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch50.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch50,hidden,8,0.5185555555555555,0.5221666666666667,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch50.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch75,none,8,0.9589166666666666,0.955,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch75.safetensors
emnist,deep,drop,fifteen_1,15,1362,epoch75,hidden,8,0.46780555555555553,0.471,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1362\epoch75.safetensors
emnist,deep,drop,fifteen_1,15,2721,epoch10,none,8,0.9348055555555556,0.9321666666666667,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed2721\epoch10.safetensors
emnist,deep,drop,fifteen_1,15,2721,epoch10,hidden,8,0.49583333333333335,0.5033333333333333,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed2721\epoch10.safetensors
emnist,deep,drop,fifteen_1,15,2721,epoch100,none,8,0.9599722222222222,0.9528333333333333,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed2721\epoch100.safetensors
emnist,deep,drop,fifteen_1,15,2721,epoch100,hidden,8,0.47891666666666666,0.4885,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed2721\epoch100.safetensors
emnist,deep,drop,fifteen_1,15,2721,epoch150,none,8,0.9644722222222222,0.9575,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed2721\epoch150.safetensors
emnist,deep,drop,fifteen_1,15,2721,epoch150,hidden,8,0.5146944444444445,0.5143333333333333,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed2721\epoch150.safetensors
