dataset,arch,config,kind,layer,test_mean,test_std,n
mnist,deep,ln,prefix,3,0.6484285714285714,0.037857747524371356,7
mnist,deep,ln,prefix,4,0.608,0.05036165869653885,7
mnist,deep,ln,single,0,0.6179571428571428,0.0336986575965501,7
mnist,deep,ln,single,1,0.8738857142857144,0.025755221384632442,7
mnist,deep,ln,single,2,0.9677,0.003497618237219899,7
mnist,deep,ln,single,3,0.9853,0.0007831560082980272,7
mnist,deep,ln,single,4,0.9697428571428571,0.03641670208127298,7
mnist,deep,ln_drop,baseline,-1,0.9880000000000001,0.0003265986323710913,7
mnist,deep,ln_drop,prefix,0,0.5283285714285715,0.02257311928568386,7
mnist,deep,ln_drop,prefix,1,0.5316,0.03696570482668134,7
mnist,deep,ln_drop,prefix,2,0.5161571428571429,0.03456032682826057,7
mnist,deep,ln_drop,prefix,3,0.5081,0.04022014420660373,7
mnist,deep,ln_drop,prefix,4,0.48778571428571427,0.03601089782142016,7
mnist,deep,ln_drop,single,0,0.5283285714285715,0.02257311928568386,7
mnist,deep,ln_drop,single,1,0.9700714285714286,0.001249952380045319,7
mnist,deep,ln_drop,single,2,0.9849428571428572,0.0006754187413675069,7
mnist,deep,ln_drop,single,3,0.9874571428571429,0.0006267831705280405,7
mnist,deep,ln_drop,single,4,0.9839285714285715,0.0017792454259360111,7
mnist,deep,plain,baseline,-1,0.9870142857142857,0.0009423880506963256,7
mnist,deep,plain,prefix,0,0.5879857142857142,0.07822862708266132,7
mnist,deep,plain,prefix,1,0.45549999999999996,0.04868880774880402,7
mnist,deep,plain,prefix,2,0.5409428571428572,0.0638583551605389,7
mnist,deep,plain,prefix,3,0.5509714285714286,0.07631847120860749,7
mnist,deep,plain,prefix,4,0.5217142857142857,0.08935613070874374,7
mnist,deep,plain,single,0,0.5879857142857142,0.07822862708266132,7
mnist,deep,plain,single,1,0.6703857142857144,0.06170373917820079,7
mnist,deep,plain,single,2,0.8939857142857143,0.046791503095164215,7
mnist,deep,plain,single,3,0.9822,0.002878657094317887,7
mnist,deep,plain,single,4,0.9548571428571428,0.04522878350279676,7
mnist,shallow,drop,baseline,-1,0.9869571428571428,0.0007976154939508732,7
mnist,shallow,drop,prefix,0,0.5095857142857143,0.08600303150803132,7
mnist,shallow,drop,prefix,1,0.7105428571428571,0.047178379834512396,7
mnist,shallow,drop,prefix,2,0.6449142857142858,0.06208991943333551,7
mnist,shallow,drop,single,0,0.5095857142857143,0.08600303150803132,7
mnist,shallow,drop,single,1,0.9610857142857142,0.004864986663711926,7
mnist,shallow,drop,single,2,0.9314714285714285,0.03932695065243483,7
mnist,shallow,ln,baseline,-1,0.9871857142857143,0.0010431180365112985,7
mnist,shallow,ln,prefix,0,0.5074142857142857,0.08122547688526115,7
mnist,shallow,ln,prefix,1,0.5859571428571428,0.08048071937101571,7
mnist,shallow,ln,prefix,2,0.5144142857142857,0.09415951763844567,7
mnist,shallow,ln,single,0,0.5074142857142857,0.08122547688526115,7
mnist,shallow,ln,single,1,0.8618142857142858,0.04223558643969279,7
mnist,shallow,ln,single,2,0.8899714285714285,0.06503618772872316,7
mnist,shallow,ln_drop,baseline,-1,0.9870428571428571,0.0009306935457982066,7
mnist,shallow,ln_drop,prefix,0,0.5414571428571429,0.019276916864725088,7
mnist,shallow,ln_drop,prefix,1,0.5254,0.023481765975610403,7
mnist,shallow,ln_drop,prefix,2,0.47821428571428576,0.027596946000806477,7
mnist,shallow,ln_drop,single,0,0.5414571428571429,0.019276916864725088,7
mnist,shallow,ln_drop,single,1,0.9684857142857143,0.0025076074728903157,7
mnist,shallow,ln_drop,single,2,0.9764857142857143,0.002864395556616065,7
mnist,shallow,plain,baseline,-1,0.9871125000000001,0.0003870677312453568,8
mnist,shallow,plain,prefix,0,0.5629500000000001,0.04684491129552617,8
mnist,shallow,plain,prefix,1,0.3893625,0.06437670247402062,8
mnist,shallow,plain,prefix,2,0.4721875,0.05565330018452245,8
mnist,shallow,plain,single,0,0.5629500000000001,0.04684491129552617,8
mnist,shallow,plain,single,1,0.6064375,0.06797333379453194,8
mnist,shallow,plain,single,2,0.857,0.06337288739786799,8
