dataset,arch,config,K,prin_mean,prin_std,linear_mean,linear_std,n
emnist,deep,drop,1,0.0212765957446808,0.0,0.8500227963525836,0.0016937563265910555,7
emnist,deep,drop,2,0.05574468085106378,0.008917364541876577,0.8500227963525836,0.0016937563265910555,7
emnist,deep,drop,3,0.09490121580547109,0.005222023601262491,0.8500227963525836,0.0016937563265910555,7
emnist,deep,drop,5,0.14848024316109418,0.018987570120872328,0.8500227963525836,0.0016937563265910555,7
emnist,deep,drop,8,0.21966565349544068,0.01743755469120683,0.8500227963525836,0.0016937563265910555,7
emnist,deep,drop,12,0.2708738601823708,0.01461123698171848,0.8500227963525836,0.0016937563265910555,7
emnist,deep,drop,20,0.3235258358662613,0.013790681012752404,0.8500227963525836,0.0016937563265910555,7
emnist,deep,ln,1,0.0212765957446808,0.0,0.8831079027355624,0.00175366813146752,7
emnist,deep,ln,2,0.024164133738601785,0.00466720228477414,0.8831079027355624,0.00175366813146752,7
emnist,deep,ln,3,0.03463525835866257,0.008428371705786312,0.8831079027355624,0.00175366813146752,7
emnist,deep,ln,5,0.04616261398176287,0.0051634507420843636,0.8831079027355624,0.00175366813146752,7
emnist,deep,ln,8,0.0726139817629179,0.01381571257932277,0.8831079027355624,0.00175366813146752,7
emnist,deep,ln,12,0.10443768996960485,0.020880801298212147,0.8831079027355624,0.00175366813146752,7
emnist,deep,ln,20,0.15290273556231002,0.028433523070752382,0.8831079027355624,0.00175366813146752,7
emnist,deep,ln_drop,1,0.0212765957446808,0.0,0.8518996960486322,0.0012101168208240684,7
emnist,deep,ln_drop,2,0.03930851063829783,0.007200852103225323,0.8518996960486322,0.0012101168208240684,7
emnist,deep,ln_drop,3,0.06688449848024312,0.005943646720883375,0.8518996960486322,0.0012101168208240684,7
emnist,deep,ln_drop,5,0.1115577507598784,0.006338178647595984,0.8518996960486322,0.0012101168208240684,7
emnist,deep,ln_drop,8,0.16094984802431608,0.018093329080107416,0.8518996960486322,0.0012101168208240684,7
emnist,deep,ln_drop,12,0.2018693009118541,0.02246655606288171,0.8518996960486322,0.0012101168208240684,7
emnist,deep,ln_drop,20,0.2501823708206687,0.022493708716344065,0.8518996960486322,0.0012101168208240684,7
emnist,deep,plain,1,0.0212765957446808,0.0,0.8808814589665654,0.0009404806587334838,7
emnist,deep,plain,2,0.02639817629179326,0.009432493181134547,0.8808814589665654,0.0009404806587334838,7
emnist,deep,plain,3,0.0318768996960486,0.006194065710054979,0.8808814589665654,0.0009404806587334838,7
emnist,deep,plain,5,0.044954407294832764,0.00923616407445402,0.8808814589665654,0.0009404806587334838,7
emnist,deep,plain,8,0.07528875379939204,0.009965273619291996,0.8808814589665654,0.0009404806587334838,7
emnist,deep,plain,12,0.10445288753799388,0.016491240864260456,0.8808814589665654,0.0009404806587334838,7
emnist,deep,plain,20,0.1456914893617021,0.016885261077276975,0.8808814589665654,0.0009404806587334838,7
emnist,shallow,drop,1,0.0212765957446808,0.0,0.8487234042553192,0.001447942296682581,7
emnist,shallow,drop,2,0.04302431610942244,0.013406029256541866,0.8487234042553192,0.001447942296682581,7
emnist,shallow,drop,3,0.06902735562310026,0.012412577736106382,0.8487234042553192,0.001447942296682581,7
emnist,shallow,drop,5,0.13560030395136774,0.017114679299232424,0.8487234042553192,0.001447942296682581,7
emnist,shallow,drop,8,0.20243920972644375,0.014588581863029774,0.8487234042553192,0.001447942296682581,7
emnist,shallow,drop,12,0.26522796352583583,0.012312794416197875,0.8487234042553192,0.001447942296682581,7
emnist,shallow,drop,20,0.3138981762917933,0.019332325013976227,0.8487234042553192,0.001447942296682581,7
emnist,shallow,ln,1,0.0212765957446808,0.0,0.8715653495440729,0.0017045796675115709,7
emnist,shallow,ln,2,0.022606382978723343,0.001920549173887385,0.8715653495440729,0.0017045796675115709,7
emnist,shallow,ln,3,0.030091185410334315,0.005039708990584702,0.8715653495440729,0.0017045796675115709,7
emnist,shallow,ln,5,0.05667173252279632,0.017533135359738387,0.8715653495440729,0.0017045796675115709,7
emnist,shallow,ln,8,0.0843465045592705,0.018708128497273234,0.8715653495440729,0.0017045796675115709,7
emnist,shallow,ln,12,0.11920212765957443,0.0248418872107807,0.8715653495440729,0.0017045796675115709,7
emnist,shallow,ln,20,0.16699848024316102,0.02585520165682494,0.8715653495440729,0.0017045796675115709,7
emnist,shallow,ln_drop,1,0.0212765957446808,0.0,0.848822188449848,0.0015390117611833144,7
emnist,shallow,ln_drop,2,0.03835106382978719,0.004093326171823607,0.848822188449848,0.0015390117611833144,7
emnist,shallow,ln_drop,3,0.06489361702127656,0.012675320977521843,0.848822188449848,0.0015390117611833144,7
emnist,shallow,ln_drop,5,0.10458206686930087,0.0152558974368935,0.848822188449848,0.0015390117611833144,7
emnist,shallow,ln_drop,8,0.16552431610942245,0.009031147822403602,0.848822188449848,0.0015390117611833144,7
emnist,shallow,ln_drop,12,0.1923176291793313,0.012885516421371293,0.848822188449848,0.0015390117611833144,7
emnist,shallow,ln_drop,20,0.2404559270516717,0.011824148530776828,0.848822188449848,0.0015390117611833144,7
emnist,shallow,plain,1,0.0212765957446808,0.0,0.873647416413374,0.0011481877745666209,7
emnist,shallow,plain,2,0.0243009118541033,0.004929374120981375,0.873647416413374,0.0011481877745666209,7
emnist,shallow,plain,3,0.0309574468085106,0.008419447172445643,0.873647416413374,0.0011481877745666209,7
emnist,shallow,plain,5,0.056405775075987805,0.008730313015306659,0.873647416413374,0.0011481877745666209,7
emnist,shallow,plain,8,0.0962006079027355,0.02121951245763246,0.873647416413374,0.0011481877745666209,7
emnist,shallow,plain,12,0.1345060790273556,0.028420930277632393,0.873647416413374,0.0011481877745666209,7
emnist,shallow,plain,20,0.17030395136778112,0.027888234367901513,0.873647416413374,0.0011481877745666209,7
mnist,deep,drop,1,0.10194285714285714,0.008908770424485664,0.9871714285714285,0.0006524678426668473,7
mnist,deep,drop,2,0.2974428571428572,0.03191858691227089,0.9871714285714285,0.0006524678426668473,7
mnist,deep,drop,3,0.38458571428571425,0.03565283666000171,0.9871714285714285,0.0006524678426668473,7
mnist,deep,drop,5,0.48237142857142856,0.043162047923521664,0.9871714285714285,0.0006524678426668473,7
mnist,deep,drop,8,0.5761857142857142,0.03999280887740645,0.9871714285714285,0.0006524678426668473,7
mnist,deep,drop,12,0.6753142857142856,0.05637480017914118,0.9871714285714285,0.0006524678426668473,7
mnist,deep,drop,20,0.7649142857142858,0.031226026995196842,0.9871714285714285,0.0006524678426668473,7
mnist,deep,ln,1,0.10798571428571428,0.00700581391213245,0.9877714285714286,0.0004644505202002545,7
mnist,deep,ln,2,0.2483,0.05439240143010174,0.9877714285714286,0.0004644505202002545,7
mnist,deep,ln,3,0.3336571428571428,0.04094043873494182,0.9877714285714286,0.0004644505202002545,7
mnist,deep,ln,5,0.5471142857142858,0.031264965940139715,0.9877714285714286,0.0004644505202002545,7
mnist,deep,ln,8,0.6985428571428571,0.038846615345606676,0.9877714285714286,0.0004644505202002545,7
mnist,deep,ln,12,0.7662285714285714,0.02189152912930132,0.9877714285714286,0.0004644505202002545,7
mnist,deep,ln,20,0.8191285714285714,0.021796002254673083,0.9877714285714286,0.0004644505202002545,7
mnist,deep,ln_drop,1,0.10302857142857144,0.007381218121176269,0.9880000000000001,0.0003265986323710913,7
