dataset,arch,config,epoch_n,test_acc_none_mean,test_acc_none_std,test_acc_none_count,test_acc_hidden_mean,test_acc_hidden_std,test_acc_hidden_count
emnist,deep,drop,10,0.8109954407294833,0.00372184798855811,7,0.3289133738601823,0.023594005484135195,7
emnist,deep,drop,25,0.8229863221884498,0.0023233233486623785,7,0.34680091185410333,0.013954883914128474,7
emnist,deep,drop,50,0.8309574468085107,0.0028752939897318665,7,0.34708206686930093,0.022467437593329923,7
emnist,deep,drop,75,0.8378115501519757,0.0024915786506833305,7,0.3443161094224924,0.022225163412754028,7
emnist,deep,drop,100,0.8437462006079028,0.0012952454023503963,7,0.3466641337386018,0.015436768782162276,7
emnist,deep,drop,150,0.8474468085106384,0.002320189759284499,7,0.33816109422492396,0.020604153436809085,7
emnist,deep,drop,200,0.8500227963525836,0.0016937563265910555,7,0.3235258358662613,0.013790681012752404,7
emnist,deep,ln,10,0.8403495440729483,0.002213868967547789,7,0.2185790273556231,0.011276918329961853,7
emnist,deep,ln,25,0.8562613981762918,0.0015694386935600714,7,0.1987993920972644,0.02265024649725535,7
emnist,deep,ln,50,0.8668768996960486,0.0018425341213086886,7,0.19442249240121576,0.03238779991457257,7
emnist,deep,ln,75,0.8722720364741641,0.0017498610298876931,7,0.1669300911854103,0.027396435066193534,7
emnist,deep,ln,100,0.8763905775075987,0.001321045226566266,7,0.16622340425531915,0.030562171481057138,7
emnist,deep,ln,150,0.8812462006079027,0.001155148501879262,7,0.15492401215805465,0.03404172008542393,7
emnist,deep,ln,200,0.8831079027355624,0.00175366813146752,7,0.15290273556231002,0.028433523070752382,7
emnist,deep,ln_drop,10,0.815258358662614,0.001940925443078409,7,0.36499999999999994,0.014382307256977318,7
emnist,deep,ln_drop,25,0.829901215805471,0.0016470558288928735,7,0.318806990881459,0.017201282702893023,7
emnist,deep,ln_drop,50,0.8385334346504559,0.001265412430678603,7,0.2915121580547112,0.02705681643131811,7
emnist,deep,ln_drop,75,0.8442553191489361,0.001979790759178423,7,0.2743996960486322,0.020047116916855956,7
emnist,deep,ln_drop,100,0.8466033434650456,0.0019348420575725069,7,0.26712765957446805,0.018540979454137713,7
emnist,deep,ln_drop,150,0.8503267477203648,0.0013221156625552863,7,0.2505927051671732,0.018756881654787786,7
emnist,deep,ln_drop,200,0.8518996960486322,0.0012101168208240684,7,0.2501823708206687,0.022493708716344065,7
emnist,deep,plain,10,0.8348708206686931,0.0023052762629208806,7,0.16825227963525832,0.030722071194070086,7
emnist,deep,plain,25,0.8477431610942249,0.0033186626108267147,7,0.17619300911854102,0.018985732244057495,7
emnist,deep,plain,50,0.8596580547112461,0.001394813364628168,7,0.18481762917933128,0.013454813507074845,7
emnist,deep,plain,75,0.8664209726443769,0.0015329593703757704,7,0.16952887537993916,0.01277657022556329,7
emnist,deep,plain,100,0.8723176291793313,0.002012592661292721,7,0.17208206686930086,0.01369345750412573,7
emnist,deep,plain,150,0.8789893617021276,0.001591898437962942,7,0.14850303951367774,0.01150193151762342,7
emnist,deep,plain,200,0.8808814589665654,0.0009404806587334838,7,0.1456914893617021,0.016885261077276975,7
