config,subset_size,test_acc_none_mean,test_acc_none_std,test_acc_none_count,test_acc_hidden_mean,test_acc_hidden_std,test_acc_hidden_count,delta_mean,delta_std,delta_count
drop,10,0.9516,0.0009287087810503582,5,0.70065,0.017379585725787607,5,0.25095,0.017533361058279726,5
drop,15,0.9584999999999999,0.0008660254037845027,5,0.6420333333333333,0.0326544194728847,5,0.3164666666666666,0.03192947958653046,5
drop,20,0.950375,0.0011215224028078856,5,0.571,0.022556006683364837,5,0.379375,0.023143236052894582,5
drop,25,0.8958999999999999,0.001770593120962617,5,0.47372,0.022881586483458703,5,0.42218,0.022969697429439506,5
drop,30,0.8918333333333333,0.0014895469109765917,5,0.4328833333333333,0.009716931099889511,5,0.4589500000000001,0.009164886190722147,5
drop,35,0.8571,0.0016649140444810887,5,0.3708428571428571,0.04073096149724183,5,0.4862571428571429,0.039471495786096523,5
drop,40,0.85215,0.0013136899367811004,5,0.3425125,0.026336813291949354,5,0.5096375,0.02643127142940725,5
ln,10,0.9577500000000001,0.0008477912478906416,5,0.7213499999999999,0.031061229853307476,5,0.2364,0.031456616950969116,5
ln,15,0.9665666666666667,0.0007226494462892964,5,0.5555,0.03738705212592549,5,0.4110666666666667,0.03690614974348976,5
ln,20,0.9615,0.0009882117688026202,5,0.44597499999999995,0.00994021189411977,5,0.515525,0.010282494225624435,5
ln,25,0.9136200000000001,0.001456708618770363,5,0.34128,0.022907138625328127,5,0.57234,0.022817164591596346,5
ln,30,0.9140166666666667,0.0007781745019952561,5,0.2749166666666666,0.04736057754668493,5,0.6391000000000002,0.046961324217085584,5
ln,35,0.8872428571428571,0.0012480597186131086,5,0.22115714285714283,0.024035337505006908,5,0.6660857142857143,0.0229008176487127,5
ln,40,0.8818125,0.00093332403269174,5,0.19615,0.019015341257127095,5,0.6856625000000001,0.018921589851278346,5
ln_drop,10,0.95185,0.0011937336386313527,5,0.7032999999999999,0.03837251620626413,5,0.24855,0.03851801526558711,5
ln_drop,15,0.9592,0.0007490735018080217,5,0.5887333333333333,0.034793957010441426,5,0.3704666666666666,0.03491127643358552,5
ln_drop,20,0.950725,0.0009453835200594868,5,0.49924999999999997,0.027229780342485337,5,0.451475,0.0269999131943049,5
ln_drop,25,0.89746,0.001073778375643706,5,0.40786,0.02031780007776433,5,0.4896,0.02057899414451543,5
ln_drop,30,0.8939166666666667,0.0007905694150420907,5,0.36065,0.01731182559857726,5,0.5332666666666667,0.0174546436037329,5
ln_drop,35,0.8596571428571428,0.002226578779478636,5,0.3190285714285714,0.014045716174590153,5,0.5406285714285715,0.015024334003372601,5
ln_drop,40,0.8539749999999999,0.0008059834830814143,5,0.2837875,0.0361023555758485,5,0.5701875,0.03576818811807501,5
plain,10,0.9571,0.0010982941318244787,5,0.6048,0.03777830064997631,5,0.35229999999999995,0.03812127030936928,5
plain,15,0.966,0.001711886548681176,5,0.5269,0.040510732459984544,5,0.4391,0.04037920944688682,5
plain,20,0.96015,0.00164981059518966,5,0.368925,0.018400832182268255,5,0.591225,0.017514146068250108,5
plain,25,0.9124800000000001,0.0015417522498767816,5,0.2792,0.010237431318450915,5,0.63328,0.00961675620986619,5
plain,30,0.9124833333333333,0.0006957210488248024,5,0.23535,0.02284772964650975,5,0.6771333333333334,0.02235296090255409,5
plain,35,0.8862857142857143,0.0011007882148159262,5,0.18115714285714285,0.03717256366994237,5,0.7051285714285715,0.03677466546969753,5
plain,40,0.87955,0.0009595327639012953,5,0.18056250000000001,0.02208625668543676,5,0.6989875,0.022119632117193994,5
